,title,article_type,date,author,author_ip,push_amount,boo_amount,arrow_amount,article_url,article,response,index_url,id
81,[閒聊] 恭喜開版,閒聊,2007-06-15 11:08:48,ottokang,140.128.183.169,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181876929.A.AE2.html,"
恭喜啊～終於出現軟體的版了
一個路過的假軟體人～
--",,https://www.ptt.cc/bbs/Soft_Job/index5.html,82
82,恭喜開板,,2007-06-15 12:07:57,ZayRowz,140.113.56.3,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181880480.A.0D5.html,"
 我也是資工人
 有了這個板後對於資訊相關產業的資訊就更清楚了
 以後會多來此板瀏覽 ^ ^
--
　一沉入海不求解，紅顏幾笑可傾城。
　霧散望廬山，原是它?連綿天。
　三聲笑，持扇輕吐即成雲，再願飛他方。
　吟數詞，帶冠深願冀求緣，轉身尋棲處，同遊蒼穹。
--",,https://www.ptt.cc/bbs/Soft_Job/index5.html,83
83,[討論] 大家什麼時候開始接案/工作？,討論,2007-06-15 12:30:49,drlai,140.138.38.76,5,0,7,https://www.ptt.cc/bbs/Soft_Job/M.1181881850.A.15A.html,"
先說說自己
我今年剛考上研究所，暑假要開始地獄般的生活..
大學期間無聊會接一些小case來做
(大多都是網頁設計)
雖然本科系不教網頁(我是資工系)
不過為了生活費...
原本想說在暑假期間找個暑期工讀
或是接些case來做(住外面都高消費的)
但教授明令：不得兼差、不得找暑期工讀 囧rz....
想問問大家，以往研究所生活大多怎麼過呢？
背著教授接case？乖乖做研究？
另外，如果是接case，大多是哪方面的呢？
(感覺網頁應該比較多吧..)
--
推 leiyan:幫人寫作業 做專題 06/15 12:54
推 mimiosu:系上或校內會有些打工的機會囉~ 跟老闆談談吧~ 06/15 14:03
→ mimiosu:或是利用假日兼家教吧~^^ 06/15 14:04
推 drlai:不太會教書XD 校內打工是有～不過想說有沒有比較高薪的賺法 06/15 14:10
→ drlai:校內時薪固定80..賺得很累(大學都在做這個) 06/15 14:10
→ longman:窮的時候 06/15 17:17
推 ankasc:也不能在學校兼助理嗎？我以前都在學校兼案子跟助理，一個 06/15 21:55
→ ankasc:月也可以賺到15k-20k，生活費足夠很多，而且兼學校工作通常 06/15 21:56
→ ankasc:不會忙到太誇張 06/15 21:57
→ ritchieHsu:我是到外面兼職趴探寫程式 有跟老師溝通過 06/16 13:28
→ ritchieHsu:一個月有25k-40k, depend on work days 06/16 13:29
推 aaronliu0719:大二開始找part time或接case  直到研二口試前... 06/17 01:31","
推 leiyan:幫人寫作業 做專題 
推 mimiosu:系上或校內會有些打工的機會囉~ 跟老闆談談吧~ 
→ mimiosu:或是利用假日兼家教吧~^^ 
推 drlai:不太會教書XD 校內打工是有～不過想說有沒有比較高薪的賺法 
→ drlai:校內時薪固定80..賺得很累(大學都在做這個) 
→ longman:窮的時候 
推 ankasc:也不能在學校兼助理嗎？我以前都在學校兼案子跟助理，一個 
→ ankasc:月也可以賺到15k-20k，生活費足夠很多，而且兼學校工作通常 
→ ankasc:不會忙到太誇張 
→ ritchieHsu:我是到外面兼職趴探寫程式 有跟老師溝通過 
→ ritchieHsu:一個月有25k-40k, depend on work days 
推 aaronliu0719:大二開始找part time或接case  直到研二口試前... ",https://www.ptt.cc/bbs/Soft_Job/index5.html,84
84,[閒聊] 賀,閒聊,2007-06-15 12:32:13,StubbornLin,140.134.241.88,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181881935.A.C84.html,"
開版了 XD
第二行
第三行
--
VICTOR工作室                        | PTT遊戲設計版隆重開幕!
                                    | 不管是新手老手，程式美工音樂企劃....
                                    | 戰略高手>
C/C++                               |    GameTopics>
Visual Basic 6.0                    |        GameDesign
--",,https://www.ptt.cc/bbs/Soft_Job/index5.html,85
85,[閒聊] 恭賀開板~~~,閒聊,2007-06-15 12:47:51,hafor,218.175.120.52,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181882876.A.621.html,"
大賀！！開板
祝本版長長久久~~
恭喜囉~~
--
'We never cease to stand like curious children before the great Mystery into
which we are born.'
“在我們誕生其間的巨大奧秘面前，我們一直都是好奇的孩童。”
─Albert Einstein 愛因斯坦
--",,https://www.ptt.cc/bbs/Soft_Job/index5.html,86
86,Re: [薪福] 大家提供一下資訊業相關薪資吧,薪福,2007-06-15 13:00:45,rpgva,218.32.160.131,1,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181883646.A.475.html,"
寫／維護投資系統ＩＴ人員，北部
私立資管系年資ㄧ年半
剛加薪月薪３８０００不過都會有加班費和一些獎金
六月份領到５１５００
一天工作８～１０　　ＨＲ
　　　　ＳＡ　　　１ＨＲ　
ＣＯＤＩＮＧ　　　４ＨＲ
ＭＡＩＮＴＡＩＮ　２ＨＲ
ＲＥＬＡＸ　　　　１ＨＲ
--
推 scdog:哪家公司....薪水那麼高??? 06/15 16:55","
推 scdog:哪家公司....薪水那麼高??? ",https://www.ptt.cc/bbs/Soft_Job/index5.html,87
87,Re: [討論] 大家什麼時候開始接案/工作？,討論,2007-06-15 13:48:13,choufeng,125.230.160.223,3,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181886494.A.4D7.html,"
  教授明令但可以暗著來! 呵～沒有啦。
　其實如果你跟到的教授平常他有很多產學合作或者是國科會計劃等的，
　常常也會找學生來幫助，也常都會有額外的補貼，你可以去和你學長打聽
　看看。
　萬一這方面的機會不多的話如果你要自己接案，通常的話也都是利用自己的人
　脈，幾個朋友或前輩們的介紹接點小case來做做，這我認為倒是無所謂。
　不一定是網頁比較多，只是你之前可能多是接觸這方面的。
　也會有其它類型的，像是AP的開發也很常有。
　　或者你可以到接案版去看看，有沒有可以做的，嚐試打去問問看。
--
推 PRAM:CodeJob板嗎? 那邊的案子數量很少說 06/15 14:17
推 choufeng:嗯，所以人脈很重要。 06/15 14:24
推 exchen:樓上中肯  不過我人名跟相貌都無法配對記憶說...Orz 06/16 00:19","
推 PRAM:CodeJob板嗎? 那邊的案子數量很少說 
推 choufeng:嗯，所以人脈很重要。 
推 exchen:樓上中肯  不過我人名跟相貌都無法配對記憶說...Orz ",https://www.ptt.cc/bbs/Soft_Job/index5.html,88
88,[閒聊] 恭賀開板!!,閒聊,2007-06-15 13:51:03,k1204,140.127.186.3,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181886664.A.1F5.html,"
身為資訊的一份子
一定要來恭喜一下
以後有關資訊的問題不怕沒地方問囉^^
--",,https://www.ptt.cc/bbs/Soft_Job/index5.html,89
89,[閒聊] 恭喜啊^^,閒聊,2007-06-15 14:02:08,mimiosu,140.124.13.2,0,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181887329.A.8E3.html,"
終於開板了
一起在台灣軟體界加油吧^^
--",,https://www.ptt.cc/bbs/Soft_Job/index5.html,90
90,Re: [討論] 大家什麼時候開始接案/工作？,討論,2007-06-15 14:49:41,blackj0311,218.166.220.164,3,0,0,https://www.ptt.cc/bbs/Soft_Job/M.1181890182.A.33A.html,"
個人是覺得，在外面工作會讓自己接觸到不少業界的人
可以從學生時代開始建立業界的人脈，對以後的發展有很大的幫助
老師明令不能兼差？誰理他啊，不過前提是你有把握可以把工作跟學校的課業弄好
我從大一暑假就開始我的工作了
大一暑假到X-link作Intern，是靠關係進去的，那個時候還不流行暑期實習這種東西
那個時候X-link剛好從舊廠搬到新廠，也就是現在明x那一棟大樓
參與了整個大樓的網路佈線還有總機系統的工作
這是我第一次有機會接觸到大型公司的網路架構設計
後來在X-link混得不錯，也幫高董setup他的電腦，雖然他常常不在辦公室，哈
後來大二的時候，某部門的副總找我參與一個計劃
可是那個計劃我自認不是我一個小大二可以扛下來的
但是跟他們meeting的過程也學習到不少業界人的思考模式，這都是學校學不到的
大二下到一間資訊公司當MIS，這一作就作到我研究所畢業
四年多裡我出差去了不少地方也學到不少工作上應該要有的態度及方法
當然跟老闆已經感情好到跟麻吉一樣
雖然現在我已經離開一年多了，但是有什麼好康的或是好事情他都會報給我知道
他買新車的時候也很康慨的叫我開開看，我現在有到新竹也常常回公司去喝咖啡聊天
在外面工作會認識很多人，可以透過工作慢慢擴大自己的人脈網路
人脈這種東西，你永遠都不知道什麼時候用得上，但是一定得建立自己的人脈網路
舉個例子好了
有一次我去幫我老闆的鄰居設定他們家的網路
那個鄰居是元智大學的教授，因為去他們家幫忙，所以就這樣子認識了
然後在我當兵的某一天，去年七月
突然接到系學會的電話，說有人要找我
打回去結果是一家科技公司，說想找我去上班
我還在想是不是詐騙集團的時候，那個小姐說我們董事長說一定要找到你來上班
於是就約了一個週未到新竹一趟
才發現，原來那個教授跟董事長是死忠兼換帖的好朋友
那位教授跟董事長介紹我這個人，說一定要找我去之類的
因此他們才會找上我
雖然我後來沒有去那間公司，但是至少又多了一些人認識我了
或許以後回到台灣又可以透過這樣子關係多了一些機會 :P
所以我真的深深覺得，人脈真的太重要了，雖然不知道用不用得上
但是好好建立自己的網路很重要
如果我沒有在學生時代就在外面打滾的話，我是完全不會體悟到些東西的
科技業是很小的，能讓自己的名聲散佈出去的話(當然是好名聲啦:P)，未嘗不是件好事
我是很鼓勵學生能在學業以外的事物多加接觸及著墨
不要在學校裡學了東西，但是外面的世界發生了什麼事情卻混然不知啊
不過，最基本的一點，提昇自己的實力，永遠不要滿足自己
不要以為自己會了點東西就好像世界無敵
你會的東西別人也會
以現在的環境，連學生也要有自己的一套藍海策略，去提升自己的價值
不然，畢業生那麼多，寫程式人人都會
要怎麼讓公司選你而不選別人，這就要靠自己的經營及努力了
--
推 ljr:高手 很好的分享:D 06/15 15:00
推 yaerse:強者 很好的分享:D 06/15 21:41
推 et282523:強者 02/03 13:31","
推 ljr:高手 很好的分享:D 
推 yaerse:強者 很好的分享:D 
推 et282523:強者 ",https://www.ptt.cc/bbs/Soft_Job/index5.html,91
